### CO2sensors_ESP3d03da
# Server time;Sensor time;CO2 concentration;Temperature;Humidity
# YYYY-MM-DD HH:MM:SS;YYYY-MM-DDxHH:MM:SSx;ppm;degC;%
2020-11-22 22:09:32;2020-11-22T22:09:35Z;795;19.8;33.1
2020-11-22 22:14:32;2020-11-22T22:14:36Z;592;18.0;33.4
2020-11-22 22:19:33;2020-11-22T22:19:36Z;549;17.4;34.1
2020-11-22 22:25:33;2020-11-22T22:25:35Z;538;17.2;34.4
2020-11-22 22:30:33;2020-11-22T22:30:36Z;502;16.8;35.0
2020-11-22 22:35:33;2020-11-22T22:35:36Z;651;18.7;38.1
2020-11-22 22:40:33;2020-11-22T22:40:36Z;746;19.4;37.9
2020-11-22 22:45:33;2020-11-22T22:45:36Z;851;20.0;38.7
2020-11-22 22:50:33;2020-11-22T22:50:36Z;880;20.3;38.0
2020-11-22 22:55:33;2020-11-22T22:55:37Z;579;19.2;32.5
2020-11-22 23:00:33;2020-11-22T23:00:37Z;789;20.0;36.5
2020-11-22 23:05:33;2020-11-22T23:05:37Z;874;20.3;36.6
2020-11-22 23:10:33;2020-11-22T23:10:37Z;944;20.5;36.7
2020-11-22 23:15:33;2020-11-22T23:15:37Z;998;20.7;36.9
2020-11-22 23:20:33;2020-11-22T23:20:37Z;1042;20.8;37.0
2020-11-22 23:25:33;2020-11-22T23:25:37Z;1085;20.9;37.2
2020-11-22 23:30:33;2020-11-22T23:30:37Z;1125;21.0;37.3
2020-11-22 23:35:33;2020-11-22T23:35:37Z;1162;21.1;37.4
2020-11-22 23:40:33;2020-11-22T23:40:37Z;1205;21.2;37.6
2020-11-22 23:45:33;2020-11-22T23:45:37Z;1239;21.2;37.8
2020-11-22 23:50:34;2020-11-22T23:50:37Z;1258;21.2;38.0
2020-11-22 23:55:34;2020-11-22T23:55:37Z;1298;21.3;38.1
2020-11-23 00:00:34;2020-11-23T00:00:37Z;1326;21.3;38.3
2020-11-23 00:05:34;2020-11-23T00:05:37Z;1348;21.4;38.4
2020-11-23 00:10:34;2020-11-23T00:10:37Z;1393;21.4;38.7
2020-11-23 00:15:34;2020-11-23T00:15:36Z;1437;21.4;38.7
2020-11-23 00:20:34;2020-11-23T00:20:36Z;1464;21.4;38.8
2020-11-23 00:25:34;2020-11-23T00:25:37Z;1488;21.5;38.8
2020-11-23 00:30:34;2020-11-23T00:30:37Z;1509;21.5;38.9
2020-11-23 00:35:34;2020-11-23T00:35:37Z;1547;21.5;39.3
2020-11-23 00:40:34;2020-11-23T00:40:37Z;1565;21.5;39.4
2020-11-23 00:45:34;2020-11-23T00:45:37Z;1571;21.6;39.3
2020-11-23 00:51:34;2020-11-23T00:51:37Z;1571;21.6;39.4
2020-11-23 00:56:34;2020-11-23T00:56:37Z;1567;21.6;39.4
2020-11-23 01:01:34;2020-11-23T01:01:38Z;1557;21.6;39.4
2020-11-23 01:06:34;2020-11-23T01:06:38Z;1559;21.6;39.5
2020-11-23 01:11:34;2020-11-23T01:11:38Z;1567;21.6;39.7
2020-11-23 01:16:34;2020-11-23T01:16:38Z;1583;21.6;39.8
2020-11-23 01:21:34;2020-11-23T01:21:38Z;1586;21.6;39.9
2020-11-23 01:26:34;2020-11-23T01:26:38Z;1608;21.7;39.9
2020-11-23 01:31:34;2020-11-23T01:31:38Z;1601;21.7;40.1
2020-11-23 01:36:34;2020-11-23T01:36:38Z;1613;21.7;40.1
2020-11-23 01:41:34;2020-11-23T01:41:38Z;1606;21.7;40.2
2020-11-23 01:46:34;2020-11-23T01:46:38Z;1630;21.7;40.3
2020-11-23 01:51:34;2020-11-23T01:51:38Z;1638;21.7;40.4
2020-11-23 01:56:34;2020-11-23T01:56:38Z;1662;21.7;40.4
2020-11-23 02:01:34;2020-11-23T02:01:38Z;1663;21.7;40.5
2020-11-23 02:06:34;2020-11-23T02:06:38Z;1660;21.7;40.5
2020-11-23 02:11:34;2020-11-23T02:11:38Z;1667;21.7;40.5
2020-11-23 02:16:34;2020-11-23T02:16:38Z;1665;21.7;40.6
2020-11-23 02:21:34;2020-11-23T02:21:38Z;1666;21.7;40.6
2020-11-23 02:26:34;2020-11-23T02:26:38Z;1671;21.7;40.6
2020-11-23 02:31:35;2020-11-23T02:31:38Z;1691;21.7;40.8
2020-11-23 02:36:35;2020-11-23T02:36:38Z;1700;21.7;40.9
2020-11-23 02:41:35;2020-11-23T02:41:38Z;1707;21.7;40.9
2020-11-23 02:46:35;2020-11-23T02:46:38Z;1707;21.7;41.0
2020-11-23 02:51:35;2020-11-23T02:51:38Z;1716;21.8;41.0
2020-11-23 02:56:35;2020-11-23T02:56:38Z;1758;21.8;41.4
2020-11-23 03:01:35;2020-11-23T03:01:39Z;1756;21.8;41.1
2020-11-23 03:06:35;2020-11-23T03:06:39Z;1765;21.8;41.3
2020-11-23 03:11:35;2020-11-23T03:11:38Z;1781;21.8;41.5
2020-11-23 03:16:35;2020-11-23T03:16:39Z;1806;21.8;41.6
2020-11-23 03:21:35;2020-11-23T03:21:39Z;1816;21.8;41.6
2020-11-23 03:26:35;2020-11-23T03:26:39Z;1828;21.8;41.6
2020-11-23 03:31:35;2020-11-23T03:31:39Z;1824;21.8;41.7
2020-11-23 03:36:35;2020-11-23T03:36:39Z;1838;21.8;41.8
2020-11-23 03:41:35;2020-11-23T03:41:39Z;1845;21.8;41.7
2020-11-23 03:46:35;2020-11-23T03:46:39Z;1845;21.8;41.9
2020-11-23 03:51:35;2020-11-23T03:51:39Z;1863;21.8;42.0
2020-11-23 03:56:35;2020-11-23T03:56:39Z;1860;21.8;42.2
2020-11-23 04:02:35;2020-11-23T04:02:39Z;1873;21.8;42.5
2020-11-23 04:07:35;2020-11-23T04:07:39Z;1884;21.9;42.6
2020-11-23 04:12:35;2020-11-23T04:12:39Z;1900;21.8;42.9
2020-11-23 04:17:35;2020-11-23T04:17:39Z;1912;21.8;43.0
2020-11-23 04:23:35;2020-11-23T04:23:39Z;1924;21.9;43.2
2020-11-23 04:28:35;2020-11-23T04:28:39Z;1919;21.9;43.3
2020-11-23 04:33:35;2020-11-23T04:33:39Z;1926;21.9;43.3
2020-11-23 04:38:35;2020-11-23T04:38:39Z;1939;21.9;43.6
2020-11-23 04:43:35;2020-11-23T04:43:39Z;1964;21.8;43.4
2020-11-23 04:48:35;2020-11-23T04:48:39Z;1967;21.9;43.3
2020-11-23 04:53:35;2020-11-23T04:53:39Z;1976;21.9;43.2
2020-11-23 04:58:35;2020-11-23T04:58:39Z;1985;21.9;43.2
2020-11-23 05:03:35;2020-11-23T05:03:38Z;1981;21.9;43.2
2020-11-23 05:08:35;2020-11-23T05:08:39Z;1999;21.9;43.3
2020-11-23 05:13:35;2020-11-23T05:13:40Z;2006;21.9;43.3
2020-11-23 05:18:36;2020-11-23T05:18:40Z;2018;21.9;43.3
2020-11-23 05:23:36;2020-11-23T05:23:40Z;2040;21.9;43.4
2020-11-23 05:28:37;2020-11-23T05:28:41Z;2032;21.9;43.5
2020-11-23 05:33:37;2020-11-23T05:33:41Z;2016;21.9;43.4
2020-11-23 05:38:37;2020-11-23T05:38:42Z;2014;21.9;43.3
2020-11-23 05:43:38;2020-11-23T05:43:42Z;2022;21.9;43.4
2020-11-23 05:48:38;2020-11-23T05:48:42Z;2042;21.9;43.5
2020-11-23 05:53:38;2020-11-23T05:53:43Z;2039;21.9;43.4
2020-11-23 05:58:39;2020-11-23T05:58:43Z;2044;21.9;43.5
2020-11-23 06:03:39;2020-11-23T06:03:44Z;2080;21.9;43.6
2020-11-23 06:08:40;2020-11-23T06:08:44Z;2108;21.9;43.6
2020-11-23 06:13:40;2020-11-23T06:13:44Z;2126;21.9;43.7
2020-11-23 06:18:40;2020-11-23T06:18:45Z;2141;21.9;43.7
2020-11-23 06:23:41;2020-11-23T06:23:45Z;2161;21.9;43.7
2020-11-23 06:28:41;2020-11-23T06:28:46Z;2171;21.9;43.7
2020-11-23 06:33:42;2020-11-23T06:33:46Z;2182;21.9;43.8
2020-11-23 06:38:42;2020-11-23T06:38:46Z;2206;21.9;44.0
2020-11-23 06:43:42;2020-11-23T06:43:47Z;1572;21.3;39.8
2020-11-23 06:48:42;2020-11-23T06:48:47Z;708;19.4;32.7
2020-11-23 06:53:43;2020-11-23T06:53:47Z;497;18.0;33.0
2020-11-23 06:58:43;2020-11-23T06:58:47Z;517;19.2;36.7
2020-11-23 07:03:43;2020-11-23T07:03:47Z;583;20.0;38.3
2020-11-23 07:08:43;2020-11-23T07:08:48Z;643;20.3;38.7
2020-11-23 07:13:43;2020-11-23T07:13:48Z;700;20.6;38.9
2020-11-23 07:18:43;2020-11-23T07:18:48Z;885;20.7;40.0
2020-11-23 07:23:44;2020-11-23T07:23:48Z;925;20.8;40.1
2020-11-23 07:28:44;2020-11-23T07:28:48Z;961;20.9;40.4
2020-11-23 07:33:44;2020-11-23T07:33:49Z;964;20.9;40.3
2020-11-23 07:38:44;2020-11-23T07:38:49Z;968;21.1;40.2
2020-11-23 07:43:44;2020-11-23T07:43:49Z;979;21.1;40.2
2020-11-23 07:48:44;2020-11-23T07:48:49Z;993;21.2;40.1
2020-11-23 07:53:45;2020-11-23T07:53:49Z;993;21.2;40.1
2020-11-23 07:58:45;2020-11-23T07:58:49Z;1031;21.3;40.3
2020-11-23 08:03:45;2020-11-23T08:03:49Z;1094;21.4;41.5
2020-11-23 08:08:45;2020-11-23T08:08:49Z;1080;21.5;40.6
2020-11-23 08:13:45;2020-11-23T08:13:49Z;1101;21.5;40.4
2020-11-23 08:18:45;2020-11-23T08:18:49Z;1002;21.3;38.7
2020-11-23 08:23:45;2020-11-23T08:23:49Z;536;20.3;32.7
2020-11-23 08:28:45;2020-11-23T08:28:49Z;427;18.9;33.0
2020-11-23 08:33:45;2020-11-23T08:33:50Z;408;18.8;33.8
2020-11-23 08:38:45;2020-11-23T08:38:50Z;423;19.1;36.5
2020-11-23 10:18:50;2020-11-23T10:18:50Z;710;21.8;36.7
2020-11-23 10:23:51;2020-11-23T10:23:51Z;723;21.7;36.9
2020-11-23 10:28:51;2020-11-23T10:28:51Z;740;21.7;37.1
2020-11-23 10:33:51;2020-11-23T10:33:51Z;760;21.7;37.2
2020-11-23 10:38:51;2020-11-23T10:38:51Z;768;21.7;37.3
2020-11-23 10:45:44;2020-11-23T10:45:43Z;1020;21.6;38.2
2020-11-23 10:46:04;2020-11-23T10:46:03Z;1051;21.6;38.2
2020-11-23 10:46:52;2020-11-23T10:46:51Z;990;21.3;38.5
2020-11-23 10:47:12;2020-11-23T10:47:11Z;957;21.3;38.4
2020-11-23 10:47:32;2020-11-23T10:47:31Z;952;21.3;38.3
2020-11-23 10:47:52;2020-11-23T10:47:52Z;963;21.3;38.2
2020-11-23 10:48:12;2020-11-23T10:48:12Z;961;21.3;38.3
2020-11-23 10:48:32;2020-11-23T10:48:32Z;957;21.3;38.3
2020-11-23 10:48:52;2020-11-23T10:48:52Z;957;21.3;38.3
2020-11-23 10:49:12;2020-11-23T10:49:12Z;955;21.3;38.3
2020-11-23 10:49:32;2020-11-23T10:49:32Z;957;21.3;38.3
2020-11-23 10:49:52;2020-11-23T10:49:52Z;960;21.3;38.3
2020-11-23 10:50:12;2020-11-23T10:50:12Z;960;21.3;38.4
2020-11-23 10:50:33;2020-11-23T10:50:32Z;963;21.3;38.4
2020-11-23 10:50:53;2020-11-23T10:50:53Z;961;21.3;38.4
2020-11-23 10:51:13;2020-11-23T10:51:13Z;964;21.3;38.4
2020-11-23 10:51:33;2020-11-23T10:51:33Z;968;21.3;38.4
2020-11-23 10:51:53;2020-11-23T10:51:53Z;967;21.3;38.4
2020-11-23 10:52:13;2020-11-23T10:52:13Z;968;21.3;38.4
2020-11-23 10:52:33;2020-11-23T10:52:33Z;968;21.3;38.4
2020-11-23 10:52:53;2020-11-23T10:52:53Z;967;21.3;38.4
2020-11-23 10:53:14;2020-11-23T10:53:13Z;969;21.3;38.5
2020-11-23 10:53:34;2020-11-23T10:53:33Z;969;21.2;38.5
2020-11-23 10:53:54;2020-11-23T10:53:54Z;968;21.3;38.4
2020-11-23 10:54:14;2020-11-23T10:54:14Z;968;21.2;38.4
2020-11-23 10:54:34;2020-11-23T10:54:34Z;967;21.3;38.5
2020-11-23 10:55:28;2020-11-23T10:55:27Z;1116;20.9;40.2
2020-11-23 10:55:48;2020-11-23T10:55:47Z;1282;21.0;40.5
2020-11-23 11:02:22;2020-11-23T11:02:22Z;1003;21.0;39.3
2020-11-23 11:07:22;2020-11-23T11:07:22Z;996;21.0;39.2
2020-11-23 11:12:22;2020-11-23T11:12:22Z;1007;21.0;39.3
2020-11-23 11:17:22;2020-11-23T11:17:23Z;1014;21.0;39.3
2020-11-23 11:22:23;2020-11-23T11:22:22Z;1015;21.0;39.4
2020-11-23 11:27:23;2020-11-23T11:27:23Z;1029;21.0;39.5
2020-11-23 11:32:23;2020-11-23T11:32:23Z;1041;21.0;39.6
2020-11-23 11:37:23;2020-11-23T11:37:23Z;1053;21.0;39.7
2020-11-23 11:42:23;2020-11-23T11:42:23Z;1062;21.0;39.7
2020-11-23 11:47:23;2020-11-23T11:47:23Z;1065;21.0;39.7
2020-11-23 11:52:23;2020-11-23T11:52:24Z;1066;21.1;39.7
2020-11-23 11:57:23;2020-11-23T11:57:24Z;1071;21.1;39.8
2020-11-23 12:02:24;2020-11-23T12:02:24Z;1077;21.0;39.9
2020-11-23 12:07:24;2020-11-23T12:07:24Z;1084;21.1;39.9
2020-11-23 12:13:24;2020-11-23T12:13:23Z;1092;21.0;39.9
2020-11-23 12:18:24;2020-11-23T12:18:23Z;1097;21.1;40.0
2020-11-23 12:23:24;2020-11-23T12:23:24Z;1103;21.1;40.0
2020-11-23 12:28:24;2020-11-23T12:28:23Z;1117;21.0;40.1
2020-11-23 12:33:24;2020-11-23T12:33:24Z;1130;21.1;40.1
2020-11-23 12:38:24;2020-11-23T12:38:24Z;1165;21.0;40.6
2020-11-23 12:43:24;2020-11-23T12:43:24Z;1250;20.9;41.2
2020-11-23 12:48:24;2020-11-23T12:48:25Z;1314;21.0;41.2
2020-11-23 12:53:24;2020-11-23T12:53:25Z;1334;21.0;41.0
2020-11-23 12:59:24;2020-11-23T12:59:25Z;1296;21.1;40.6
2020-11-23 13:04:24;2020-11-23T13:04:25Z;1274;21.1;40.5
2020-11-23 13:09:24;2020-11-23T13:09:25Z;1263;21.1;40.6
2020-11-23 13:14:25;2020-11-23T13:14:25Z;1266;21.1;40.9
2020-11-23 13:19:25;2020-11-23T13:19:25Z;1276;21.2;41.0
2020-11-23 13:24:25;2020-11-23T13:24:25Z;1296;21.2;41.0
2020-11-23 13:29:25;2020-11-23T13:29:24Z;1307;21.2;41.0
2020-11-23 13:34:25;2020-11-23T13:34:25Z;1315;21.1;41.0
2020-11-23 13:39:25;2020-11-23T13:39:25Z;1321;21.1;40.9
2020-11-23 13:44:25;2020-11-23T13:44:25Z;1329;21.1;41.0
2020-11-23 13:49:25;2020-11-23T13:49:25Z;1310;20.7;40.5
2020-11-23 13:54:25;2020-11-23T13:54:25Z;777;20.0;40.9
2020-11-23 13:59:25;2020-11-23T13:59:25Z;819;20.3;41.5
2020-11-23 14:04:25;2020-11-23T14:04:25Z;810;20.5;41.2
2020-11-23 14:09:25;2020-11-23T14:09:26Z;833;20.6;41.3
2020-11-23 14:14:25;2020-11-23T14:14:26Z;840;20.6;41.4
2020-11-23 14:19:25;2020-11-23T14:19:26Z;870;20.6;41.5
2020-11-23 14:25:25;2020-11-23T14:25:26Z;900;20.6;41.6
